Route,Train_Size,Test_Size,MAE,Median_AE,Dir_Acc,R2,Over_Pred,Under_Pred
SFO-ISB,1423,356,112.41,71.72,0.952,0.942,129.71,-97.96
SFO-NYC,1405,352,25.53,26.09,0.889,0.84,4.36,-26.34
SFO-SAN,1402,351,5.45,4.23,0.972,0.974,1.83,-6.1
