Feature Removed,MAE Without,MAE Impact,Dir.Acc Without,Dir.Acc Impact,Important?
price_vs_min,25.96,15.92,0.716,-0.229, YES
price_pct_change,11.88,1.83,0.944,0.0, YES
price_volatility_7d,10.83,0.78,0.944,0.0,No
price_slope,10.8,0.75,0.944,0.0,No
days_until_squared,10.7,0.65,0.944,0.0,No
daily_price_points,10.24,0.2,0.944,0.0,No
airline_count,10.22,0.18,0.91,-0.034,No
booking_urgency,9.96,-0.08,0.944,0.0,No
flight_count,9.53,-0.51,0.944,0.0,No
price_cv,6.85,-3.19,0.96,0.015,No
