learning_rate,max_depth,n_estimators,min_child_weight,avg_mae,avg_dir_acc
0.05,3,200,1,20.528,0.9009333333333333
0.05,3,150,1,20.76333333333333,0.8986666666666667
0.1,3,200,1,20.82466666666667,0.9001999999999999
0.1,3,150,1,20.918,0.9001999999999999
0.05,5,200,1,21.05666666666667,0.9062000000000001
0.05,5,150,1,21.139333333333333,0.9062000000000001
0.1,3,100,1,21.15266666666667,0.8994
0.05,3,100,1,21.206666666666667,0.8972000000000001
0.05,3,200,5,21.372000000000003,0.8986666666666667
0.05,3,150,5,21.404,0.8949333333333334
0.1,3,200,3,21.514666666666667,0.9009333333333333
0.05,3,100,5,21.51533333333333,0.8970666666666668
0.05,7,200,1,21.554000000000002,0.8943333333333334
0.1,5,200,1,21.554666666666666,0.8943333333333333
0.05,3,200,3,21.57666666666667,0.8986666666666666
0.1,5,150,1,21.615333333333336,0.8943333333333333
0.05,5,100,1,21.620666666666665,0.9054666666666668
0.05,7,150,1,21.638666666666666,0.8943333333333334
0.05,5,200,5,21.653333333333332,0.8776666666666667
0.05,3,150,3,21.67,0.8986666666666666
0.1,3,150,3,21.703333333333333,0.9001333333333333
0.05,7,200,5,21.732666666666663,0.8769333333333332
0.1,5,100,1,21.736,0.8943333333333333
0.05,5,150,5,21.744000000000003,0.8776666666666667
0.05,7,150,5,21.826666666666664,0.8769333333333332
0.05,3,100,3,21.85466666666667,0.8948
0.1,3,200,5,21.87133333333333,0.9016666666666667
0.05,5,200,3,21.878,0.8934000000000001
0.1,3,100,3,21.910666666666668,0.8994
0.05,5,150,3,21.966666666666665,0.8934000000000001
0.1,3,150,5,21.983999999999998,0.9016000000000001
0.05,7,200,3,22.085333333333335,0.8784000000000001
0.05,7,100,1,22.130000000000006,0.8936000000000002
0.05,5,100,5,22.13066666666667,0.8768666666666668
0.1,7,200,1,22.141333333333336,0.8951333333333333
0.1,7,150,1,22.152666666666672,0.8951333333333333
0.1,5,200,5,22.15733333333333,0.8768666666666668
0.1,5,150,5,22.19066666666666,0.8761333333333333
0.1,7,100,1,22.211333333333332,0.8951333333333333
0.05,7,150,3,22.213333333333335,0.8784000000000001
0.1,3,100,5,22.229333333333333,0.9008666666666668
0.05,7,100,5,22.252666666666666,0.8761333333333333
0.05,5,100,3,22.25733333333333,0.8926666666666666
0.1,5,200,3,22.274000000000004,0.8926
0.1,7,200,5,22.307333333333336,0.8768666666666668
0.1,5,150,3,22.337999999999997,0.8926
0.1,7,150,5,22.34466666666667,0.8768666666666668
0.1,5,100,5,22.395333333333337,0.8768666666666668
0.1,7,100,5,22.445333333333334,0.8768666666666668
0.1,5,100,3,22.483333333333338,0.8926
0.1,7,200,3,22.614666666666665,0.8664666666666667
0.1,7,150,3,22.639999999999997,0.8664666666666667
0.05,7,100,3,22.659333333333333,0.8776666666666667
0.1,7,100,3,22.763333333333335,0.8664666666666667
0.01,5,200,5,29.027333333333335,0.8964666666666666
0.01,5,200,3,29.254000000000005,0.9039999999999999
0.01,7,200,5,29.27333333333333,0.8979333333333334
0.01,3,200,5,29.281333333333336,0.9017333333333334
0.01,3,200,3,29.355999999999998,0.9025333333333333
0.01,7,200,3,29.50733333333333,0.8845999999999999
0.01,5,200,1,29.77866666666667,0.9077999999999999
0.01,3,200,1,29.840666666666664,0.9017333333333334
0.01,7,200,1,30.121999999999996,0.8861333333333333
0.01,5,150,5,35.296,0.8867999999999999
0.01,7,150,5,35.437333333333335,0.8875333333333333
0.01,5,150,3,35.54666666666666,0.8905333333333333
0.01,7,150,3,35.704,0.8763333333333332
0.01,3,150,5,35.87533333333334,0.8890666666666666
0.01,3,150,3,35.896,0.8965333333333332
0.01,5,150,1,36.20733333333334,0.8868666666666667
0.01,3,150,1,36.39266666666666,0.8898
0.01,7,150,1,36.468,0.8719333333333333
0.01,5,100,5,45.035333333333334,0.8273999999999999
0.01,7,100,5,45.04933333333333,0.8273999999999999
0.01,5,100,3,45.21333333333333,0.8318666666666666
0.01,7,100,3,45.28400000000001,0.8318666666666666
0.01,3,100,3,45.67133333333334,0.8596
0.01,3,100,5,45.68666666666666,0.8536
0.01,5,100,1,45.844666666666676,0.8341333333333333
0.01,7,100,1,46.02933333333334,0.8341333333333333
0.01,3,100,1,46.19400000000001,0.8619333333333333
