Learning Rate,Max Depth,N Estimators,Min Child Weight,CV-MAE,Dir. Accuracy
0.1,3,200,3,66.09,0.9203333333333332
0.05,3,200,1,66.35333333333334,0.9248
0.1,3,200,1,66.45333333333333,0.9216666666666664
0.1,3,200,5,66.91266666666667,0.9206
0.05,3,150,1,67.03066666666668,0.9237333333333332
0.1,3,150,3,67.194,0.9184666666666668
0.05,3,200,5,67.24,0.9208666666666666
0.1,3,150,1,67.25066666666667,0.9207333333333332
0.05,3,200,3,67.35,0.9185333333333332
0.05,3,150,5,67.77533333333332,0.9198
